的	白勹丶
汝	氵女
撮	扌日耳又
幸	土半
醬	爿䏑寸酉
舟	舟
訴	言斤丶
態	厶月匕匕心
繡	糸尹爿一爿
蜜	宀弋八虫
漂	氵西示
序	广予
巷	艹廾巳
梨	禾刂木
舌	舌
腹	月𠂉日夂
蟹	𠂊用刀牛虫
陷	阝𠂊臼
捉	扌足
蒼	艹人户口
疑	匕矢龴足
鼎	目爿爿
釣	金勹丶
慌	心艹亡川
彼	行皮
辰	辰
執	土半丸
忌	巳心
踏	足水日
捷	扌一彐止
腫	月千日二
縱	糸行人人止
伏	亻犬
壇	土亠圍口日一
默	田土火犬
懸	目木丿糸心
悟	心二乂口
頻	止癶頁
帽	巾日目
幼	幺力
旋	方𠂉足
擁	扌亠乚凵隹
猶	犭八酉
席	广廿巾
叉	又丶
繫	車凵殳糸
妃	女巳
典	冊廾
贈	貝八田日
儒	亻雨而
裸	衤田木
奉	丰キ
御	行午止卩
腔	月穴工
突	穴大
刑	一廾刂
痕	疒艮
賓	宀一癶貝
午	午
蕾	艹雨田
臟	月艹戈爿臣
宰	宀辛
弘	弓厶
境	土立日儿
拒	扌匚コ
毅	立豕殳
煎	䒑月刂火
弦	弓亠幺
蓉	艹穴人口
憶	心立日心
卵	卯丶丶
遷	之西大巳
尺	尸丶
禍	示咼
垂	千艹二
郵	千艹二阝
惜	心廿日
浦	氵甫
警	艹勹口攵言
揭	扌日勹亡
逐	之豕
謂	言田月
昭	日召
宿	宀亻一白
統	糸亠厶儿
裂	一夕刂衣
僧	亻八田日
慣	心母貝
彪	虎彡
淋	氵木木
束	木口
仕	亻士
劫	土厶力
拓	扌石
疊	田田田冖且
律	行彐キ
株	木𠂉木
砂	石小丿
斗	冫十
坪	土干八
揮	扌冖車
箇	竹圍十口
吞	一大口
亡	亡
遙	之䏑午凵
牧	牛攵
兜	白卯儿
監	臣𠂉一皿
稀	禾乂𠂇巾
恰	心亼口
朕	月䒑大
淑	氵上小又
慕	艹日大心
疏	足亠厶川
膏	亠口冖口月
陵	阝土儿夂
纏	糸广田土八土
驗	馬亼口口人人
廷	廴丿士
糊	米十口月
儲	亻言耂
楠	木十冂半
蚊	虫文
祭	䏑又示
拾	扌亼口
朋	月月
芸	艹二厶
吟	口亼㇕
筒	竹冂一口
丘	丘
責	丰貝
堯	土土土兀
繁	𠂉母攵糸
坦	土日一
穗	禾一日厶心
紗	糸小丿
屯	丿屮
虐	虎匚一
紹	糸召
惟	心隹
幕	艹日大巾
遮	之广廿火
庚	广彐人
哉	十戈口
涉	氵止癶
賦	貝戈止
敷	甫方攵
禪	示口口甲一
習	习习白
臥	臣人
釘	金丁
丙	一冂人
歷	厂禾禾止
躍	足习习隹
署	四耂
範	竹車卩
示	示
嵐	山風
夕	夕
議	言羊手戈
趣	走耳又
杭	木亠几
疾	疒矢
崇	山宀示
婦	女彐冖巾
裕	衤八人口
嘆	口艹口夫
艦	舟臣𠂉一皿
荒	艹亡川
貞	卜貝
筋	竹月力
鈴	金亼龴
帆	巾凡
奎	大土土
駕	力口馬
阻	阝且
享	亠口子
棚	木月月
傲	亻土方攵
欽	金欠
召	召
徒	行走
脂	月匕日
競	立口儿立口儿
靖	立丰月
奏	丰一大
盲	亡目
姿	冫欠女
賜	貝日勿
湧	氵龴用力
栽	十戈木
述	之木丶
籠	竹龍
甫	甫
佑	亻𠂇口
閥	門亻戈
咽	口圍大
袖	衤由
貧	八刀貝
激	氵白方攵
階	阝匕匕白
珊	王冊
植	木十目
占	卜口
鉛	金八口
灘	氵艹口夫隹
災	巛火
暢	申日一勿
詠	言丶水
桐	木冂一口
謙	言禾禾彐
万	一力
織	糸立日戈
蒲	艹氵甫
芽	艹牙
昊	日一大
轟	車車車
碑	石鬼十
燃	火䏑犬火
輔	車甫
暉	日冖車
朴	木卜
碩	石頁
杖	木一乂
謎	言之米
刃	刀丶
墜	阝八豕土
衡	行𠂊田大
櫻	木貝貝女
窯	穴羊火
措	扌廿日
眠	目巳七
途	之亼木
叢	业半耳又
禾	禾
磁	石䒑幺幺
沃	氵丿大
哀	衣口
浸	氵彐冖又
柄	木一冂人
輯	車口耳
凸	圍冂
遼	之一火日小
宴	宀日女
堪	土甘匚儿
麟	鹿米夕㐄
祿	示彑水
崩	山月月
醜	酉鬼
革	革
憲	宀丰四心
遺	之中一貝
喚	口𠂊冂八大
刊	干刂
裁	十戈衣
郁	𠂇月阝
逝	之扌斤
際	阝䏑又示
誌	言士心
崖	山厂土土
廉	广禾禾彐
獅	犭丿㠯一巾
鞍	革宀女
墳	土十艹貝
巫	工人人
虞	虎口乚廾
